"","id","true value","MSM U included","MSM U excluded","SF method","BSA: time varying","BSA: time fixed"
"109",109,-10.2618294761824,-10.8681666149345,-11.972355374398,-10.9260822513078,-9.82713858378113,-11.0520762719096
"110",110,-10.2625235861635,-11.30092750973,-12.4375818447899,-11.1091076627254,-9.96795843269781,-10.1937352214978
"111",111,-10.2666376506258,-9.86371581819644,-11.1973144285401,-10.2507355726258,-9.46556799934441,-9.85010831113163
"112",112,-10.2561988987799,-10.5119897362422,-11.1408091058223,-10.2385829142064,-8.36902042361031,-9.73804570293286
"113",113,-10.2639373998797,-10.2216942981349,-11.2248229386538,-10.479993337818,-9.39427716963798,-10.2771355241503
"114",114,-10.2657785154477,-10.2551278056636,-11.1597382106502,-10.1938704570486,-8.88763367418341,-9.79635689986042
"115",115,-10.2736443820173,-10.95992146231,-11.8975052242084,-10.8595721426088,-10.2726128628238,-10.730198940806
"116",116,-10.2659497129241,-9.28426891550568,-10.6706210507227,-9.92324475565162,-9.6360129563581,-10.4599189919591
"117",117,-10.2683046812778,-9.10011223228254,-10.5146159891892,-9.84422371260981,-9.5629650377232,-10.1339210328785
"118",118,-10.2684885281028,-10.467146180016,-11.4201994819937,-10.3603126122434,-10.6003167973772,-10.8995191597233
"119",119,-10.279457974305,-8.80940239665119,-10.5826431314624,-9.67956823341588,-8.76858580056629,-10.4447110666201
"120",120,-10.2804938996118,-9.92501251209875,-11.3598943939308,-10.7631019182536,-10.4984937909171,-11.1450568158566
"121",121,-10.277789713452,-10.3237170091187,-11.9361334620749,-10.7872803897991,-11.7045419073565,-12.1603482966253
"122",122,-10.278728220439,-10.3196086998011,-11.1392265563799,-10.2790761610328,-9.7579389021352,-10.1711913305431
"123",123,-10.2738546930533,-10.0241296718944,-11.4023881783936,-10.5094100313721,-10.1820739396732,-11.4538720321762
"124",124,-10.2654697041766,-9.94847909416054,-11.6462590761522,-10.5667424070613,-10.3620524002846,-11.079695163195
"125",125,-10.25482175522,-9.6507280172592,-11.1360396999671,-10.2129518719615,-8.52905064623001,-11.0004365955968
"126",126,-10.2676813924527,-10.7390284048726,-11.8801161005374,-10.9083027003174,-10.0983737725324,-10.966709842761
"127",127,-10.2697192859262,-10.4512451929227,-11.5085073429101,-10.7451512116744,-8.41231114207369,-9.32797635287318
"128",128,-10.2711543251368,-10.7965636842769,-12.1552647821127,-11.1559807093764,-9.86447405793114,-11.1704879711214
"129",129,-10.2670241923969,-10.3624708196548,-10.6237079119607,-9.92519326954155,-9.79550233446927,-10.3956344542657
"130",130,-10.2672467787278,-11.4325638538512,-12.5749332069434,-11.1599843093047,-9.65032518113386,-9.47980957580985
"131",131,-10.2781577353459,-10.157801727891,-11.138338251246,-10.1426279486361,-9.17145774553337,-10.2715323852553
"132",132,-10.2560215457061,-10.6294155321851,-11.8544903253463,-10.7950721286265,-6.73013731063697,-10.3056682357234
"133",133,-10.2672082044141,-10.3565708342993,-11.391936413918,-10.516232285365,-11.2152800024243,-10.8739652938043
"134",134,-10.2657219876231,-10.2533045523664,-11.8477559256623,-10.8177162931286,-10.391740391031,-10.6912120624046
