"","True Value","MSM with U","MSM without U","SF (MSM)","SF (BMSM)","SF (MSM, h=2)","SF (BMSM, h=2)","BSA time varying","BSA constant"
"44",-10.2704268719133,-9.7555957169173,-11.0545307041146,-9.93215289821194,-9.92953458510925,-9.92314357168496,-9.86933403039207,-9.02130303561378,-9.55897678202236
"45",-10.2685827679101,-10.7448488489659,-12.0236672850824,-10.8205956421763,-10.8135431342073,-10.8391496443147,-10.8460754886103,-9.38161537713874,-10.9654768872521
"46",-10.2614480348131,-8.50744613179106,-10.1635330876436,-9.23646202316225,-9.19843972867388,-9.283530386847,-9.25980662807212,-9.55008663990711,-10.2234696113314
"47",-10.2674403015646,-10.1668433695891,-11.1894505799482,-10.317448406473,-10.3159925315538,-10.3142691561449,-10.3626774273531,-10.3579615565944,-10.5105421204885
"48",-10.2706204660114,-10.8436510417415,-11.9995655799828,-10.8770679666591,-10.8897715441881,-10.8762711441381,-10.8877409079274,-10.0865050576097,-11.1065991877703
"49",-10.2798105701956,-9.63703886601836,-10.85335958188,-9.70117523614949,-9.73126899144262,-9.67390767156938,-9.73243340220623,-9.73422630266643,-10.7561189390895
"50",-10.2645769376228,-11.2130006664355,-12.1678784836182,-10.8246065020455,-10.7786339795073,-10.7890176265714,-10.6534063039409,-10.0888762484505,-10.3149706773735
"51",-10.2563500786427,-9.85490608689569,-11.7146897340298,-10.4131242978539,-10.4946029734453,-10.3601338928142,-10.5176254599532,-9.698288356271,-9.91214470729581
"52",-10.2677497622298,-9.96451589977602,-11.6031708282699,-10.4589854508787,-10.4180073789768,-10.4706494404578,-10.4452630929913,-8.25674288990567,-10.0216690011134
"53",-10.2715277913358,-9.82447226713434,-10.8219625416705,-9.93820101528119,-9.92324476407959,-9.94320021637165,-9.86736508815969,-7.23477307353794,-10.6035575176471
"54",-10.2633249322778,-10.125290167613,-11.3030820926864,-10.0102497199719,-9.9902744683896,-10.0160075468205,-9.98740015841222,-9.45123228995971,-9.96963779478302
"55",-10.2457476301528,-10.5636816051457,-11.6027418326703,-10.7559683075524,-10.7536372187437,-10.7813283475845,-10.7944798229457,-9.59630187771627,-10.7789097872081
"56",-10.2716121034585,-10.0810605826897,-11.1827360831223,-10.1813218315952,-10.1891178886096,-10.2045836921584,-10.1820759858158,-9.44279692372686,-10.6236451325956
"57",-10.2683432345371,-10.1627740264528,-11.5569837024674,-10.4254669886525,-10.4132884831982,-10.4207776369458,-10.3310649685683,-8.86414669811709,-10.3422233087782
"58",-10.2710197532733,-10.629743292734,-12.2692257491577,-11.0221297537904,-11.0238649780039,-10.9955418225709,-11.0269117427643,-11.3064340726404,-11.7530499145603
"59",-10.2680106121888,-8.65057086320845,-11.0329371469767,-10.030892703963,-9.99374710047389,-10.0587687961986,-10.0112739861222,-10.3069258733566,-10.8585538559307
"60",-10.274107457949,-9.41116145955913,-10.2192880138069,-9.28601714072992,-9.27549682757866,-9.29807972976978,-9.27861633324164,-9.42224848555566,-9.62289376369435
"61",-10.2651582383031,-9.29562099652294,-11.1344291423606,-10.0082959626922,-9.95895871804017,-9.98478788963443,-9.9358351241894,-9.80947885278709,-10.1612578621293
"62",-10.2722572602472,-9.33571913337277,-10.8091642108241,-9.91299842366923,-9.9155801005053,-9.89599068462836,-9.90043231154644,-9.4041425916652,-10.135641748695
"63",-10.2664975345512,-9.57593347078501,-10.3236227118996,-9.44839930780861,-9.4573844873496,-9.426737376258,-9.45716122612694,-9.79593392231487,-10.1820245309813
"64",-10.267394833896,-9.51977864113793,-10.9042558787216,-9.68617506346578,-9.69979965816297,-9.70917047172286,-9.76075808734621,-10.3237723289364,-10.8227079435276
"65",-10.2800861490227,-10.4777423167351,-12.1841311156141,-10.9865881488959,-11.0019637417019,-11.0428312316973,-11.0582510723262,-10.9653957024785,-11.1704953952662
"66",-10.2732814178232,-10.6612561116225,-12.0530394463283,-10.774113271931,-10.8104782331867,-10.8626977896861,-10.9213672007143,-11.5583015992588,-11.875782330512
"67",-10.2695098120698,-10.1067065454124,-11.0761469309078,-9.97103930717486,-9.99289478564894,-9.97097123915425,-9.97815076775883,-9.0414510779472,-8.34908053029202
"68",-10.2667300470446,-9.762203780191,-11.0425815892784,-10.0225249216318,-9.95341918496191,-10.004510635847,-9.94610572530491,-9.73645191899284,-10.2941320562349
"69",-10.2691673986714,-8.77291287546199,-9.9023177281464,-9.20056895570258,-9.1834540079031,-9.22760987577838,-9.21669127638235,-8.023056375631,-9.38046700156772
"70",-10.269752430928,-9.82975530995065,-11.1976237231513,-10.176662318744,-10.2214396769579,-10.1467430151192,-10.1987929154662,-10.5921503693103,-10.5845327930803
"71",-10.2686346469346,-10.1478627830097,-10.9613372932234,-9.68842982197432,-9.67540949961903,-9.66984297015779,-9.67152810409322,-9.77320479420064,-10.2106426705106
"72",-10.2761828833187,-9.47864748608818,-11.0146445150972,-9.81983708892738,-9.90242951797313,-9.83953435917859,-9.90026944029267,-9.76481277542142,-10.6862372877691
"73",-10.2661256099754,-10.1837360908671,-11.6413353029904,-10.4479936306755,-10.4270678053393,-10.4377444956442,-10.4108126868659,-8.50788676695085,-10.3039928143107
"74",-10.2689061131099,-10.858112543966,-11.9140012781326,-10.7219235366209,-10.7271459817837,-10.7059053221342,-10.7711571592067,-10.7104945054634,-11.1239661460496
"75",-10.2754788041041,-11.0866586622137,-11.9488907022233,-10.7273563593073,-10.7679412279364,-10.7690740517082,-10.8046754045016,-9.98820403336665,-10.0760182547828
"76",-10.278758590578,-10.7152468936807,-11.7064931005626,-10.467756054806,-10.4678116088744,-10.5137265355139,-10.5447488720561,-9.99136249073656,-11.0356506999241
"77",-10.27518723911,-10.8825336421851,-11.97919239367,-10.5432803320228,-10.5400163852676,-10.5040888207582,-10.5114878055759,-10.7170174721491,-11.8650724712391
"78",-10.2592685472216,-9.14651399551629,-11.510401247286,-10.3692414904668,-10.3523150420697,-10.3821101966259,-10.3812881752972,-10.2762786399099,-10.6253848052123
"79",-10.2644939869279,-9.98379544306622,-11.683241910909,-10.5719653695556,-10.5850718887776,-10.4952751688229,-10.4995894122376,-10.2498989862245,-11.3352700694254
"80",-10.2775240786262,-10.0839663489775,-11.0000236123952,-10.1051871605965,-10.0685535041977,-10.0577639277015,-10.0167685047938,-9.78803441650206,-10.0825293416859
"81",-10.2757072350481,-9.8468210983875,-10.7305646481986,-9.95432685890707,-9.95871654834053,-9.91091068465025,-9.90680170159033,-10.2151813767654,-11.0963207202506
"82",-10.2670665716351,-10.7814140894234,-11.7256978813992,-10.4487563413706,-10.4295998073711,-10.4308211910708,-10.4035031564347,-10.6269903716668,-11.274892788093
"83",-10.2677338995584,-10.2892265969293,-11.7435564285913,-10.7259175579198,-10.6485018940816,-10.7227545030078,-10.6182901730331,-10.4830776272877,-11.1781612326923
"84",-10.2705775628787,-10.1264268151568,-11.4833750845839,-10.0293202090928,-10.0417339662214,-10.0132010230623,-10.006300776098,-9.82912323962277,-11.2168618733184
"85",-10.2647538873693,-9.76429736023703,-11.1341354181948,-9.81529823790561,-9.83366879871496,-9.84553723560081,-9.87474189097742,-10.920173121597,-10.9409734491004
"86",-10.2703634030507,-10.5261594864673,-11.487674477849,-10.2318144710093,-10.2815678894913,-10.1931627434579,-10.2649575770144,-9.11295724611252,-10.0506868686659
"87",-10.2718484420913,-9.66039663934478,-11.0557179511488,-10.0146075631095,-10.0063253605111,-10.0047060734411,-10.041186452352,-9.96111726180915,-10.4159624884894
"88",-10.2699570912312,-9.08477123008215,-10.6580953692089,-9.64668334558425,-9.64463471721571,-9.70613940435853,-9.682242718317,-9.7028004536375,-10.3346873094546
"89",-10.2650254071425,-11.0361858194163,-12.4650548375638,-11.1072051872359,-11.1195118189531,-11.0962594087294,-11.1597712556694,-11.0094060657903,-11.8539536752009
"90",-10.271032124409,-9.84921654315592,-10.9526041337293,-9.68952250212011,-9.73812796464013,-9.69658971387147,-9.82030515932368,-9.48059511131754,-9.93514622439009
"91",-10.2655577284499,-10.8036624383952,-11.9860384526949,-10.8520366664818,-10.8978041481426,-10.8682079051328,-10.9385584190072,-10.7956306451203,-11.2642625605314
